X,Y,nome,propriet,ini_oper,combust,tipo_info,icon_url
-39.477964554,-7.23243966499996,Crato,Enguia GEN CE Ltda,2002/04/23,Óleo Diesel,tipo_info,./0.png
-38.86611085,-3.68111114399994,Fortaleza,Central Geradora Termelétrica Fortaleza S.A.,2003/12/27,Gás Natural,tipo_info,./1.png
-38.481216607,-12.7302104239999,Global I,Candeias Energia S.A.,2010/05/07,Óleo Combustível,tipo_info,./2.png
-38.6165345539999,-3.87300966499993,Maracanaú I,Maracanaú Geradora de Energia S.A.,2010/12/30,Óleo Combustível,tipo_info,./2.png
-35.304648443,-5.86880966499996,Potiguar III,Companhia Energética Potiguar S.A.,2009/03/03,Óleo Diesel,tipo_info,./0.png
-43.447478554,-21.6854536659999,Juiz de Fora,Petróleo Brasileiro  S/A,2002/02/01,Gás Natural,tipo_info,./1.png
-40.2414162659999,-20.184103356,Biancogrês,Biancogrês Cerâmica S.A.,2014/09/27,Gás Natural,tipo_info,./1.png
-48.960574998,-28.449046112,Jorge Lacerda I e II,Tractebel Energia S.A.,1965/03/01,Carvão Mineral,tipo_info,./3.png
-35.8899789979999,-7.23073188699993,Campina Grande,Borborema Energética S.A.,2011/02/08,Óleo Combustível,tipo_info,./2.png
-38.2078029909999,-12.4997853269999,Prosperidade I,Imetame Termelétrica Ltda.,2018/10/16,Gás Natural,tipo_info,./1.png
-60.0177567759999,-2.98156522099993,Jaraqui,Breitener Jaraqui S/A,2006/04/05,Gás Natural,tipo_info,./1.png
-35.038488888,-8.28986388799996,Suape II,Energética Suape II S.A.,2013/01/24,Óleo Combustível,tipo_info,./2.png
-43.6468735349999,-22.720043027,Barbosa Lima Sobrinho (Antiga Eletrobolt),Petróleo Brasileiro S.A. - PETROBRAS,2001/10/01,Gás Natural,tipo_info,./1.png
-38.972076106,-3.60563305299996,Porto do Pecém,Companhia de Integração Portuária do Ceará,2003/06/01,Gás Natural,tipo_info,./1.png
-34.860314554,-7.16140966699993,Termonordeste,Centrais Elétricas da Paraíba S.A,2010/12/24,Óleo Combustível,tipo_info,./2.png
-38.871666944,-3.69249999899995,Termoceará,Petróleo Brasileiro S.A. - PETROBRAS,2002/07/06,Gás Natural,tipo_info,./1.png
-39.306112743,-7.20942363299997,Juazeiro do Norte,Enguia GEN CE Ltda,2002/04/21,Óleo Diesel,tipo_info,./0.png
-42.445270911,-5.03611815899995,Altos,Enguia GEN PI Ltda.,2002/07/29,Óleo Diesel,tipo_info,./0.png
-49.3666666629999,-25.567222224,Refinaria Presidente Getúlio Vargas (REPAR),Petróleo Brasileiro S.A. - Petrobras,1976/01/01,Gás de Refinaria,tipo_info,./4.png
-47.144534554,-22.7570096659999,Rhodia Paulínia,Rhodia Brasil S.A.,1957/01/01,Gás Natural,tipo_info,./1.png
-53.7790199139999,-31.4509261499999,Pampa Sul,Usina Termelétrica Pampa Sul S.A.,2019/06/28,Carvão Mineral,tipo_info,./3.png
-44.3436456649999,-4.81412077599992,Parnaíba IV,"Parnaíba Geração e Comercialização de Energia S.A; Kinross Brasil Mineração S/A",2013/12/13,Gás Natural,tipo_info,./1.png
-43.2458125539999,-22.709620666,Governador Leonel Brizola (Antiga TermoRio),Petróleo Brasileiro S.A.,2004/11/05,Gás Natural,tipo_info,./1.png
-44.213207499,-19.971024165,Metalsider,Metalsider Ltda.,2010/09/02,Gás de Alto Forno,tipo_info,./5.png
-41.873034554,-22.298787666,Norte Fluminense,Usina Terméletrica Norte Fluminense S/A,2004/03/06,Gás Natural,tipo_info,./1.png
-44.29609011,-2.52462077599995,Porto do Itaqui (Antiga Termomaranhão),UTE Porto do Itaqui Geração de Energia S.A.,2013/02/05,Carvão Mineral,tipo_info,./3.png
-35.018766758,-7.86077303999997,Termomanaus,Centrais Elétricas de Pernambuco S.A.,2009/06/18,Óleo Diesel,tipo_info,./0.png
-46.6685905539999,-23.6962876659999,Piratininga,Baixada Santista Energia S.A.,1954/01/01,Óleo Combustível,tipo_info,./2.png
-39.802859696,-19.5356168339999,Luiz Oscar Rodrigues de Melo (Antiga Linhares),Linhares Geração S.A.,2010/12/23,Gás Natural,tipo_info,./1.png
-39.2966897059999,-6.37591626399995,Iguatu,Enguia GEN CE Ltda.,2002/04/24,Óleo Diesel,tipo_info,./0.png
-42.781645554,-4.86128766499996,Marambaia,Enguia GEN PI Ltda,2002/07/29,Óleo Diesel,tipo_info,./0.png
-35.0093678869999,-7.85678744299997,Pau Ferro I,Centrais Elétricas de Pernambuco S.A.,2009/06/18,Óleo Diesel,tipo_info,./0.png
-38.4821208029999,-12.729993893,Global II,Candeias Energia S.A.,2010/05/20,Óleo Combustível,tipo_info,./2.png
-44.558718171,-3.56618870499995,Geramar I (Antiga Tocantinópolis),GERA MARANHÃO - Geradora de Energia do Maranhão S.A.,2010/01/09,Óleo Combustível,tipo_info,./2.png
-35.293312332,-5.87062077599995,Potiguar,Companhia Energética Potiguar S.A.,2009/03/03,Óleo Diesel,tipo_info,./0.png
-53.65658261,-31.5457507429999,Candiota III,Companhia de Geração Térmica de Energia Elétrica.,2011/01/01,Carvão Mineral,tipo_info,./3.png
-51.181029999,-29.918696946,Refap,Petróleo Brasileiro S.A. - PETROBRAS,2009/07/07,Óleo Combustível,tipo_info,./2.png
-51.654145554,-20.741009666,Luiz Carlos Prestes (Antiga Três Lagoas),Petróleo Brasileiro S.A.,2004/01/08,Gás Natural,tipo_info,./1.png
-46.4199999959999,-23.866944444,Petrocoque,Petrocoque S.A. Indústria e Comércio,2016/06/11,Outros Energéticos de Petróleo,tipo_info,./6.png
-42.183590554,-4.84239866499996,Campo Maior,Enguia GEN PI Ltda,2002/07/29,Óleo Diesel,tipo_info,./0.png
